output_0,output_1,output_2,output_3,output_4,output_5,output_6,output_7
0.07325713,0.08187613,-0.0659576,-0.032403726,-0.0002308251,-0.0008302097,0.014477777,-0.019150587
-0.06694646,-0.036274247,-0.1338445,-0.121814914,-0.26840237,-0.19091974,0.14027451,-0.041019816
-0.48239002,0.093208164,-0.0754896,0.15373433,0.2696375,0.02716958,0.06629284,0.48112488
0.09467332,-0.04800015,-0.18597482,-0.06771034,0.1784195,0.17650922,-0.21216138,-0.28386334
0.054948136,-0.15905353,-0.14294964,0.09750027,0.04358015,0.059433207,0.20599815,0.34393853
-0.3717318,-0.20235614,-0.0022616254,-0.10672244,-0.13845776,-0.14125694,-0.24374114,0.09872249
-0.03532506,0.20395064,0.044643987,-0.37034586,-0.08162507,-0.039740633,0.14639877,-0.4006481
-0.09034718,0.09553608,0.090481505,-0.19225325,0.16447307,-0.07287922,-0.05982506,0.08915534
0.058366988,-0.01721464,0.07043917,-0.06322286,0.112842925,-0.051391043,-0.051194556,-0.056226622
0.00324758,-0.12738538,0.14051643,0.015174419,0.25720626,-0.006158461,0.0021436028,0.14851622
0.09528264,-0.10855782,0.051727474,-0.039969426,0.25457484,0.29230884,-0.023634955,0.12994783
-0.06702993,-0.14650272,-0.17506224,0.14115454,-0.021117484,0.09185748,0.08668749,0.138065
-0.32435665,0.12893534,0.0072736675,-0.018331833,-0.08277438,0.2667092,0.18399203,-0.022819234
-0.07649014,-0.13136941,-0.3587815,-0.016098557,-0.21854857,0.02587423,-0.062614426,0.23401067
0.059619118,-0.055056885,0.14480466,0.057961497,0.39256132,0.20431142,-0.24149318,-0.25957415
0.035671923,0.115264766,-0.13410664,-0.275746,-0.18491524,0.06200647,-0.34414545,-0.0038751026
0.019404612,0.12706481,-0.028934615,0.21908534,-0.15698324,-0.124903426,-0.025137477,-0.044594664
0.030454433,-0.09962104,0.15607038,-0.02577814,-0.015304683,-0.14657874,0.048244778,-0.23185863
-0.3828681,0.46365798,0.49671572,0.11009023,0.18104179,-0.23758231,-0.4336893,0.22887678
-0.034990724,0.044046998,-0.09929694,0.25997677,-0.27485427,0.197106,0.2793636,-0.2871466
0.303996,-0.17359598,0.24949522,-0.64359426,0.49733478,0.21966803,-0.22522607,-0.2893556
-0.21477473,-0.04299877,0.17509536,0.15003125,0.13111864,-0.0961411,0.10692623,0.028851725
-0.07417527,0.3440678,-0.14235774,-0.22039762,-0.044165485,0.17305776,-0.03296705,0.18309236
-0.076242454,-0.11103361,-0.22741912,-0.20721652,-0.26899654,0.016121412,-0.123408906,0.2685353
0.05700704,0.000536326,-0.114066854,0.012866204,0.16247179,0.0121333515,-0.1899273,-0.03135778
-0.3834085,0.8494771,-0.13323462,0.16663107,0.5866445,-0.32741106,0.43960455,-0.06920369
-0.038686585,-0.08357344,-0.002697822,-0.25276768,-0.33292386,-0.13151783,-0.027577493,0.3187228
0.17448084,-0.22199851,0.070145145,0.20414278,-0.07219701,0.15539695,0.34670886,-0.023757914
0.08104841,0.10817022,0.13298962,-0.018149178,-0.16180912,-0.21037245,0.015615859,-0.36819604
-0.13273609,0.105530724,-0.27098605,0.021396764,0.15510063,0.047890045,0.07180089,-0.09115019
0.013650057,-0.0973316,-0.036472704,0.056214884,0.1362425,0.01681883,-0.19214426,-0.27940482
-0.11075465,0.20032878,-0.13745148,0.18123071,-0.10347233,0.10534458,-0.08350443,0.24916983
-0.051671878,-0.1636082,-0.003823438,-0.017752958,-0.053660195,0.18980695,-0.18111685,0.20794973
-0.300007,-0.054205548,0.6765463,0.07788346,0.14111501,0.05879802,-0.040718235,-0.36615682
0.006660243,-0.16506504,0.39477772,-0.12511551,0.08166862,-0.091532335,-0.2762933,-0.1969283
0.39646214,-0.4183,0.21427675,-0.44531408,-0.31373712,0.7522285,0.71234256,-0.21620837
0.23664132,0.326485,0.09061629,0.17121972,-0.18099894,-0.36990178,0.1945276,0.38589215
0.016296804,-0.17279178,0.1916347,-0.08473766,0.04453319,-0.09304894,-0.42154387,0.18496636
0.06869374,-0.14127885,-0.05455034,-0.061768703,-0.33152887,0.2111266,-0.1612385,-0.27691266
-0.050061848,0.044378642,0.031483587,-0.10935441,0.085428834,0.0007864684,-0.06530437,-0.21576406
0.044164944,0.073602594,0.06599246,-0.12375654,-0.03689311,-0.039308567,-0.012738108,0.2738445
-0.057348337,-0.143861,-0.044172965,0.29843614,0.18222074,0.104485415,-0.06847402,-0.16072671
-0.097386464,-0.18405071,-0.5395331,-0.22175954,0.20043477,0.23246235,-0.07173937,-0.070052296
0.2299826,0.18163924,-0.04334758,-0.29525894,0.16353525,-0.16809486,-0.1720853,0.1525394
0.23864248,-0.23716177,-0.10602551,-0.16374731,0.22837642,-0.21171351,-0.17366481,-0.09445976
-0.28572428,0.12365367,0.4898477,-0.009572775,0.23642053,0.014199954,0.013262898,-0.117684744
0.12207482,0.021958698,0.23617186,-0.13142136,-0.05543323,-0.18206114,0.38136822,-0.14232111
0.08315309,-0.118394285,-0.14351171,-0.14268671,-0.008423306,0.52644217,-0.10573791,0.11649883
-0.16480973,0.25523898,0.29834577,0.37230766,0.694135,-0.36068428,0.45122543,0.06304742
-0.22447062,0.15539174,-0.0068336134,0.13487552,0.060909126,-0.020058632,0.012093405,-0.10560037
0.00278336,-0.06734899,0.39014345,-0.17056511,0.29869956,0.11726751,-0.40647557,0.23969187
0.061742164,0.16797334,-0.063544884,0.16289794,0.25849316,-0.17754725,-0.16609652,0.32530895
0.16439787,-0.16717789,-0.17583793,0.2406136,0.008187673,0.08906317,-0.36407998,-0.10037867
-0.037055794,-0.049888983,-0.03108989,0.39258972,-0.06593821,-0.042251177,-0.23489124,-0.04024209
0.08336398,-0.1629365,-0.36395562,-0.00026692983,-0.32221258,-0.1994298,-0.28806546,-0.00037882177
0.15088113,-0.024150304,0.08846596,-0.18353796,0.38356948,0.07819595,0.14580263,-0.10370855
-0.14991346,0.05721507,0.28175968,-0.3433953,0.16123398,-0.22376004,0.019640064,-0.36176375
-0.026234359,0.050858125,0.1035694,-0.31889483,0.022434602,0.0051372834,-0.02512671,-0.42246422
0.04609199,-0.007865445,-0.12025802,-0.15848887,-0.071838394,0.009113701,0.13645235,-0.12615682
-0.07269238,-0.023458125,-0.032128632,0.096141696,0.10979717,0.05184305,-0.17961948,0.018669663
0.23459592,-0.22322918,-0.1328384,-0.021800347,0.050649244,-0.04522193,-0.394107,-0.24573034
-0.099685445,-0.19979486,0.023029417,-0.04792722,0.28285936,0.04816342,-0.294849,0.090241805
-0.13724959,0.077308215,-0.11532826,-0.11734355,-0.01582999,-0.08906351,-0.18801984,-0.23026536
-0.15532489,-0.09381388,-0.13645506,-0.16108815,0.3644655,-0.3667136,0.34294438,0.096735634
